frame,scenario,n_bacteria,n_phages
120,Hybrid,5040,1
121,Hybrid,5040,1
122,Hybrid,5040,1
123,Hybrid,5040,1
124,Hybrid,5040,1
125,Hybrid,5040,1
126,Hybrid,5040,1
127,Hybrid,5040,1
128,Hybrid,5040,1
129,Hybrid,5040,1
130,Hybrid,5040,1
131,Hybrid,5040,1
132,Hybrid,5040,1
133,Hybrid,5040,1
134,Hybrid,5040,1
135,Hybrid,5040,1
136,Hybrid,5040,1
137,Hybrid,5040,1
138,Hybrid,5040,1
139,Hybrid,5040,1
140,Hybrid,5040,1
141,Hybrid,5040,1
142,Hybrid,5040,0
143,Hybrid,5041,0
144,Hybrid,5041,0
145,Hybrid,5041,0
146,Hybrid,5041,0
147,Hybrid,5041,0
148,Hybrid,5041,0
149,Hybrid,5041,0
150,Hybrid,5041,0
151,Hybrid,5041,0
152,Hybrid,5041,0
153,Hybrid,5041,0
154,Hybrid,5041,0
155,Hybrid,5041,0
156,Hybrid,5041,0
157,Hybrid,5041,0
158,Hybrid,5041,0
159,Hybrid,5041,0
160,Hybrid,5041,0
161,Hybrid,5041,0
162,Hybrid,5041,0
163,Hybrid,5041,0
164,Hybrid,5041,0
165,Hybrid,5041,0
166,Hybrid,5041,0
167,Hybrid,5041,0
168,Hybrid,5041,0
169,Hybrid,5041,0
170,Hybrid,5041,0
171,Hybrid,5041,0
172,Hybrid,5041,0
173,Hybrid,5041,0
174,Hybrid,5041,0
175,Hybrid,5041,0
176,Hybrid,5041,0
177,Hybrid,5041,0
178,Hybrid,5041,0
179,Hybrid,5041,0
180,Hybrid,5041,0
181,Hybrid,5041,0
182,Hybrid,5041,0
183,Hybrid,5041,0
184,Hybrid,5041,0
185,Hybrid,5041,0
186,Hybrid,5041,0
187,Hybrid,5041,0
188,Hybrid,5041,0
189,Hybrid,5041,0
190,Hybrid,5041,0
191,Hybrid,5041,0
192,Hybrid,5041,0
193,Hybrid,5041,0
194,Hybrid,5041,0
195,Hybrid,5041,0
196,Hybrid,5041,0
197,Hybrid,5041,0
198,Hybrid,5041,0
199,Hybrid,5041,0
